性别,感兴趣课程_0,感兴趣课程_1,感兴趣课程_2,父母对你学习以外的生活干涉程度,父母对你学习的生活干涉程度,父亲每年见面的日子,母亲每年见面的日子,和父亲共处日子里每天的交流,和母亲共处日子里每天的交流,再学习多少年较为合适,你希望成为你父母一样的人吗,是否觉得被父母讨厌,能回忆起多少家庭成员在一起的美好事件数,有没有给家人设计过一些小惊喜,是否对家人表达过感恩,本年级班级数,班级人数,是否有手机,是否有WIFI,语文,数学,英语,道德与法治,历史,地理,生物,总分,班名次,级名次,义务教育家庭经济困难,义务教育阶段学业困难,残疾人家庭子女,单亲家庭子女,离异型家庭子女,IQ.分值,IQ.决策力（次数）,IQ.步数,对老师的满意程度,向老师寻求帮助的频率,与老师的亲密度,理想中的老师,对自己学习成绩的在意程度,课程喜爱程度_语文,课程喜爱程度_数学,课程喜爱程度_英语,课程喜爱程度_历史,课程喜爱程度_地理,课程喜爱程度_政治,课程喜爱程度_生物,课程掌握程度_语文,课程掌握程度_数学,课程掌握程度_英语,课程掌握程度_历史,课程掌握程度_地理,课程掌握程度_政治,课程掌握程度_生物,期望一周上课天数,是否考虑过学习的意义或学习的目的,除了家人外，最亲近的人,除了家人外最亲近的人_开放选项,与朋友交往中倾注了多少感情或多大程度上离不开这些人,是否会时常回忆起与朋友之间的美好往事,是否感恩身边能够有这些老师、朋友的陪伴,对与自己的生活是否满意,遇到烦恼倾诉对象_父母家人,遇到烦恼倾诉对象_同学朋友,遇到烦恼倾诉对象_老师,遇到烦恼倾诉对象_自己化解,遇到烦恼倾诉对象_其他,遇到烦恼倾诉对象_其他_开放选项,时常感觉到生活烦闷不如意吗,最向往的职业,最向往的职业_开放选项,未来生活要素重要程度_美满的家庭,未来生活要素重要程度_富裕的经济条件,未来生活要素重要程度_自己热爱的工作,未来生活要素重要程度_健康的身体,未来生活要素重要程度_明确的奋斗目标,未来生活要素重要程度_其他,未来生活要素重要程度_其他_开放选项,最想改变的性格_更勇敢,最想改变的性格_更自信,最想改变的性格_更乐观,最想改变的性格_更开朗,最想改变的性格_更沉稳,最想改变的性格_更坚强,最想改变的性格_更专注,最想改变的性格_其他,最想改变的性格_其他_开放选项,在学校有没有喜欢的人,碰到喜欢的人会不会勇敢的去表达和追求,自己最出众的优点_没有,自己最出众的优点_我很聪明,自己最出众的优点_我成绩比其他人好,自己最出众的优点_我比其他人有钱,自己最出众的优点_我很受欢迎,自己最出众的优点_我很细心,自己最出众的优点_我长得很帅气/漂亮,自己最出众的优点_我数学比较好,自己最出众的优点_我英语比较好,自己最出众的优点_其他,自己最出众的优点_其他_开放选项,一共有多少兄弟姐妹,兄弟姐妹中排行,是否独生子,FatherStay,MotherStay,FatherComm,MotherComm,语文 (bins),数学 (bins),英语 (bins),道德与法治 (bins),历史 (bins),地理 (bins),生物 (bins),活动期间表达对家人的感激,对于自己生活满意程度,一周上学时间期望,是否喜欢现在的班级,相比其他班最大的特点,学校交流活动是否多,对其他班同学熟悉程度,是否喜欢/认可现在的班主任,是否有非中考科目的课,是否喜欢大多数老师,老师备课是否用心,上课用处,有没有课被中考科目占用,完成作业平均小时,最花时间科目,对小组成员满意程度,对活动总体满意程度,父亲外出打工,父亲打工联系,母亲外出打工,母亲打工联系
女,心成长,摄影入门,篮球基本战术,6,6,半年到九个月之间,一个月以下,一小时到三小时,不超过一个小时,13,不想,否,6,还没有过,有过,4,53,电话手表,有,110,97,130,46,25,31,27,466,23,23,FALSE,FALSE,FALSE,FALSE,FALSE,,,,10,8,6,和蔼,7,1,7,5,4,3,2,6,4,7,5,6,1,2,3,5,提高能力，适应未来,同学,,7,会,是,7,父母家人,同学朋友,老师,自己化解,,,7,律师（等法律工作者）,,,,自己热爱的工作,,明确的奋斗目标,,,,,,,,更坚强,,,,有,当然敢,,我很聪明,,,,我很细心,,,,,,2,2,FALSE,3,0,1,0,105.4,95.2,125,44.4,22,29.6,26.6,有过,8,5,喜欢,团结，友善，优秀,3,4,是,有,喜欢,用心,大,没有,2.5,数学,8,10,TRUE,高,FALSE,
男,心成长,秀丽笔：入门到实践,民族舞/华尔兹舞入门,5,5,半年到九个月之间,超过九个月,五小时以上,五小时以上,11,不想,否,6,有过,有过,4,53,电话手表,有,86,89,106,37,23,28,32,401,42,44,FALSE,FALSE,FALSE,FALSE,FALSE,,,,10,9,10,勤劳和蔼,10,3,1,2,7,5,4,6,2,1,3,7,4,6,5,7,提高能力，适应未来,老师,,10,会,是,10,,同学朋友,,,,,1,科学家,,美满的家庭,,,健康的身体,,,,更勇敢,更自信,更乐观,,,更坚强,,,,没有,不敢,,,,,,,,我数学比较好,,,,0,0,TRUE,3,4,3,3,84.6,88.8,101,36,22,26,31.2,有过,10,6,喜欢,学习好,5,5,是,有,喜欢,用心,大,没有,2.5,数学,10,10,TRUE,高,FALSE,
女,有关“度量衡”的小设计,秀丽笔：入门到实践,篮球基本战术,1,1,一个月以下,一个月以下,五小时以上,五小时以上,13,和父亲一样的人,否,4,有过,有过,4,53,电话手表,有,98,84,112,45,22,27,22,410,41,42,FALSE,TRUE,FALSE,FALSE,FALSE,,,,10,8,5,严厉,8,2,3,1,4,5,6,7,7,6,5,4,3,2,1,5,明确的理想,同学,,3,会,否,8,,同学朋友,,自己化解,,,3,教师,,美满的家庭,,,,明确的奋斗目标,,,更勇敢,更自信,更乐观,,更沉稳,更坚强,更专注,,,没有,不敢,,,,,,我很细心,,,我英语比较好,,,2,2,FALSE,0,0,3,3,95,82.4,107,44.4,22,26,22,有过,9,5,喜欢,学习好,3,4,是,没有,喜欢,用心,大,有,3.5,数学,9,10,TRUE,高,FALSE,
女,心成长,摄影入门,民族舞/华尔兹舞入门,5,5,三个月到半年之间,超过九个月,不超过一个小时,五小时以上,11,不想,否,10,有过,有过,4,53,电话手表,有,105,112,136,50,34,35,40,512,10,10,FALSE,FALSE,FALSE,FALSE,FALSE,130,8,31,5,5,5,人好，幽默,10,3,7,1,6,4,2,5,3,2,1,6,4,5,7,5,更好的工作,同学,,10,会,否,5,,同学朋友,,,,,5,教师,,美满的家庭,,,健康的身体,,,,,,,,更沉稳,,更专注,,,没有,看情况,,,,,,,,,我英语比较好,,,2,1,FALSE,2,4,0,3,100.2,108,131,47.2,32,33.2,35.8,还没有,5,5,喜欢,没有谈恋爱的,4,3,是,没有,喜欢,用心,大,有,2.5,数学,10,10,TRUE,低,FALSE,
男,心成长,摄影入门,篮球基本战术,5,5,一个月到三个月之间,一个月到三个月之间,三小时到五小时,三小时到五小时,9,和父亲一样的人,否,8,有过,有过,4,53,我不明白这个问题的意思,有,69,99,110,44,30,38,37,427,37,38,FALSE,FALSE,FALSE,FALSE,FALSE,,,,7,5,6,和蔼可亲,8,6,5,7,4,1,2,3,6,4,7,3,1,2,5,4,明确的理想,同学,,5,会,否,9,父母家人,同学朋友,,,,,8,科学家,,美满的家庭,,,健康的身体,,,,更勇敢,更自信,更乐观,更开朗,更沉稳,更坚强,,,,没有,不敢,没有,,,,,,,,,,,3,1,FALSE,1,1,2,2,69,95.2,107,41.6,27,36.8,35.8,有过,9,3,喜欢,作业多,3,4,是,有,喜欢,用心,大,没有,2.5,数学,9,10,TRUE,低,TRUE,低
女,心成长,秀丽笔：入门到实践,篮球基本战术,6,4,三个月到半年之间,一个月以下,三小时到五小时,三小时到五小时,11,不想,否,8,还没有过,还没有过,4,53,我不明白这个问题的意思,没有,99,128,141,48,37,43,43,539,5,5,FALSE,FALSE,FALSE,FALSE,FALSE,,,,9,8,7,和蔼可亲,10,4,5,2,6,1,3,7,3,4,1,7,2,5,6,5,明确的理想,同学,,8,不会,是,8,,,,自己化解,,,8,科学家,,美满的家庭,,,,明确的奋斗目标,,,更勇敢,,更乐观,,更沉稳,更坚强,更专注,,,没有,看情况,,,我成绩比其他人好,,,,,,,,,2,1,FALSE,2,0,2,2,95,127.2,137,47.2,37,40.4,40.4,还没有,8,5,喜欢,学习稍微好一点,3,3,是,有,喜欢,用心,大,有,3.5,数学,7,10,TRUE,高,FALSE,
女,心成长,秀丽笔：入门到实践,篮球基本战术,5,5,一个月到三个月之间,超过九个月,三小时到五小时,五小时以上,11,不想,否,6,有过,有过,4,53,我不明白这个问题的意思,有,78,92,114,40,26,39,24,413,39,40,FALSE,FALSE,FALSE,FALSE,FALSE,115,,,10,6,6,知识多，和蔼,10,2,3,1,4,7,5,6,2,3,1,6,5,4,7,4,更好的工作,同学,,10,会,否,6,,,,自己化解,,,5,医生,,美满的家庭,,自己热爱的工作,,,,,更勇敢,更自信,,,,,,,,有,看情况,没有,,,,,,,,我英语比较好,,,2,2,FALSE,1,4,2,3,74.2,88.8,113,38.8,22,36.8,22,有过,6,5,喜欢,气氛好,3,3,是,有,喜欢,用心,大,没有,3.5,数学,10,10,TRUE,高,FALSE,
男,心成长,摄影入门,篮球基本战术,3,6,三个月到半年之间,超过九个月,不超过一个小时,三小时到五小时,9,不想,否,6,有过,有过,4,53,我不明白这个问题的意思,有,82,101,109,40,26,36,42,436,34,34,FALSE,FALSE,FALSE,FALSE,FALSE,,,,9,9,6,和蔼可亲，知识渊博,10,4,1,6,2,7,5,3,3,1,2,5,7,6,4,5,提高能力，适应未来,邻居,,9,会,是,10,父母家人,同学朋友,,自己化解,,,1,科学家,,美满的家庭,,自己热爱的工作,,,,,更勇敢,,更乐观,更开朗,,更坚强,,,,没有,不敢,没有,,,,,,,,,,,1,1,FALSE,2,4,0,2,79.4,95.2,107,38.8,22,33.2,40.4,有过,10,5,喜欢,成绩优秀，比较幽默,3,3,是,有,喜欢,用心,大,有,2.5,英语,10,10,TRUE,低,FALSE,
女,心成长,秀丽笔：入门到实践,篮球基本战术,6,6,三个月到半年之间,半年到九个月之间,一小时到三小时,一小时到三小时,13,不想,否,6,有过,有过,4,53,只能打电话的按键功能机,有,83,120,129,44,20,34,34,464,24,24,FALSE,FALSE,FALSE,FALSE,FALSE,115,5,19,9,7,7,严肃,10,3,1,2,4,7,5,6,3,1,2,6,5,4,7,5,更好的工作,同学,,7,会,是,7,,同学朋友,,,,,2,文艺工作者,,美满的家庭,,,健康的身体,,,,,更自信,更乐观,,更沉稳,更坚强,更专注,,,没有,看情况,,,,,,,,我数学比较好,,,,3,1,FALSE,2,3,1,1,79.4,114.4,125,41.6,17,33.2,31.2,有过,9,6,喜欢,学习好    有责任心,4,2,是,有,喜欢,用心,大,有,3.5,数学,10,10,TRUE,高,TRUE,高
女,心成长,摄影入门,篮球基本战术,6,8,一个月到三个月之间,超过九个月,一小时到三小时,三小时到五小时,13,和母亲一样的人,否,6,有过,有过,4,53,我不明白这个问题的意思,有,108,101,132,45,29,41,35,491,16,16,FALSE,FALSE,FALSE,FALSE,FALSE,135,,,6,5,6,和蔼可亲的,6,3,5,1,2,4,7,6,3,2,1,6,5,4,7,4,提高能力，适应未来,同学,,6,会,否,7,,同学朋友,,,,,2,政府工作人员,,,,自己热爱的工作,,明确的奋斗目标,,,,更自信,更乐观,,更沉稳,,,,,没有,不敢,,,,,,,,,我英语比较好,,,2,1,FALSE,1,4,1,2,105.4,95.2,131,44.4,27,40.4,31.2,有过,7,5,喜欢,我们班的学习是最好的,3,3,是,有,喜欢,用心,大,有,1.5,数学,10,10,TRUE,高,FALSE,
女,心成长,摄影入门,民族舞/华尔兹舞入门,6,6,三个月到半年之间,三个月到半年之间,五小时以上,五小时以上,13,和母亲一样的人,否,10,有过,有过,4,53,我不明白这个问题的意思,有,96,113,129,42,37,36,36,489,17,17,FALSE,FALSE,FALSE,FALSE,FALSE,,,,10,8,7,温柔，漂亮，有趣,9,2,6,3,4,7,1,5,1,5,3,7,6,2,4,7,更好的工作,同学,,6,会,是,7,,,,自己化解,,,1,文艺工作者,,美满的家庭,,自己热爱的工作,,,,,更勇敢,更自信,更乐观,更开朗,更沉稳,更坚强,更专注,,,没有,看情况,,,,,我很受欢迎,我很细心,,,我英语比较好,,,3,2,FALSE,2,2,3,3,95,108,125,41.6,37,33.2,35.8,有过,6,5,喜欢,环境不错,1,3,是,有,喜欢,用心,大,有,4.5,语文,10,10,TRUE,高,FALSE,
女,有关“度量衡”的小设计,秀丽笔：入门到实践,篮球基本战术,5,5,一个月到三个月之间,三个月到半年之间,五小时以上,五小时以上,13,和母亲一样的人,否,5,有过,有过,4,53,我不明白这个问题的意思,有,118,79,109,44,19,30,35,434,36,36,FALSE,TRUE,FALSE,FALSE,FALSE,120,2,20,5,4,4,不布置作业,5,2,7,1,3,6,4,5,2,7,1,3,6,4,5,4,提高能力，适应未来,同学,,5,会,是,5,,,,自己化解,,,5,文艺工作者,,美满的家庭,,,健康的身体,,,,更勇敢,,,更开朗,,,,,,没有,看情况,,,,,,,,,我英语比较好,,,2,1,FALSE,1,2,3,3,115.8,76,107,41.6,17,29.6,31.2,有过,8,3,喜欢,玩,5,3,是,有,喜欢,用心,大,有,3.5,英语,10,10,TRUE,高,TRUE,高
女,有关“度量衡”的小设计,秀丽笔：入门到实践,民族舞/华尔兹舞入门,6,8,一个月到三个月之间,超过九个月,一小时到三小时,五小时以上,13,和父亲一样的人,否,10,有过,有过,4,53,电话手表,有,115,140,142,48,30,41,41,557,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,135,,,9,9,6,负责,10,4,3,2,6,5,1,7,3,2,1,5,6,4,7,5,明确的理想,同学,,9,会,是,10,,同学朋友,,,,,9,科学家,,美满的家庭,,,健康的身体,,,,更勇敢,更自信,更乐观,,更沉稳,,,,,没有,看情况,,,,,,我很细心,,,,,,2,3,FALSE,1,4,1,3,110.6,133.6,137,47.2,27,40.4,40.4,有过,10,5,喜欢,活跃,4,3,是,有,喜欢,用心,大,有,4.5,数学,10,10,TRUE,高,FALSE,
男,心成长,秀丽笔：入门到实践,篮球基本战术,9,10,三个月到半年之间,超过九个月,不超过一个小时,一小时到三小时,11,不想,否,10,还没有过,有过,4,53,只能打电话的按键功能机,有,107,112,128,41,33,40,34,495,14,14,FALSE,FALSE,FALSE,FALSE,FALSE,135,,,9,6,6,善解人意,9,4,2,1,3,6,5,7,3,1,2,7,5,4,6,4,提高能力，适应未来,同学,,8,会,否,9,,,,自己化解,,,5,科学家,,,,,健康的身体,明确的奋斗目标,,,更勇敢,,更乐观,,更沉稳,,更专注,,,没有,看情况,,,,,,,,我数学比较好,,,,1,2,FALSE,2,4,0,1,105.4,108,125,38.8,32,36.8,31.2,还没有,9,4,喜欢,学习好,2,5,是,有,不喜欢,用心,大,没有,3.5,数学,10,10,TRUE,高,FALSE,
女,心成长,摄影入门,篮球基本战术,4,6,三个月到半年之间,超过九个月,三小时到五小时,五小时以上,11,不想,否,6,有过,有过,4,53,我不明白这个问题的意思,没有,98,105,125,36,22,28,28,442,31,31,FALSE,FALSE,FALSE,FALSE,FALSE,,,,10,6,5,知识多，和蔼,10,2,4,1,7,6,3,5,5,6,1,7,3,2,4,4,更好的工作,同学,,6,会,否,6,,,,自己化解,,,5,医生,,,,自己热爱的工作,,明确的奋斗目标,,,,更自信,,,,,,,,有,看情况,没有,,,,,,,,,,,1,2,FALSE,2,4,2,3,95,101.6,125,36,22,26,26.6,还没有,10,4,喜欢,环境好,3,3,是,有,喜欢,用心,大,没有,3.5,数学,10,10,TRUE,高,TRUE,高
女,心成长,摄影入门,民族舞/华尔兹舞入门,6,6,三个月到半年之间,超过九个月,五小时以上,五小时以上,11,不想,否,10,有过,有过,4,53,电话手表,有,120,132,142,47,29,42,37,549,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,130,,,5,5,5,幽默,10,3,7,1,6,4,2,5,3,2,1,6,5,4,7,5,提高能力，适应未来,同学,,10,会,是,6,,同学朋友,,,,,4,教师,,,,,健康的身体,明确的奋斗目标,,,更勇敢,更自信,,,,更坚强,更专注,,,没有,看情况,,,,,,,,,我英语比较好,,,2,1,FALSE,2,4,3,3,115.8,127.2,137,44.4,27,40.4,35.8,有过,6,5,喜欢,纯洁,3,3,是,有,喜欢,用心,大,有,3.5,数学,10,10,TRUE,高,FALSE,
